#{"t_start": 1744343419.334029, "env_id": "None"}
r,l,t
23.0,67,0.819589
11.0,58,0.854335
12.0,61,0.892315
45.0,76,0.936663
27.0,62,0.97495
16.0,73,1.018062
35.0,74,1.062899
51.0,73,1.109306
17.0,77,1.15271
19.0,74,1.196883
42.0,77,1.241296
15.0,60,1.278852
18.0,69,1.319527
25.0,64,1.357749
16.0,63,1.397032
27.0,70,1.43896
39.0,72,1.482582
37.0,82,1.533161
16.0,58,1.568199
14.0,64,1.608603
28.0,70,1.649962
127.0,69,1.691154
22.0,64,1.729069
126.0,68,1.770127
20.0,64,1.812314
19.0,69,1.852433
32.0,76,1.899139
23.0,75,1.944726
21.0,66,1.983806
14.0,59,3.932044
16.0,70,3.975212
45.0,84,4.024956
31.0,76,4.068911
45.0,75,4.113087
22.0,74,4.158253
21.0,67,4.197065
15.0,64,4.235972
13.0,71,4.277563
13.0,60,4.311413
36.0,78,4.357913
174.0,86,4.405265
49.0,73,4.44773
18.0,67,4.484812
126.0,68,4.521975
42.0,79,4.567629
19.0,67,4.605096
35.0,79,4.650284
35.0,71,4.70284
21.0,63,4.744482
10.0,60,4.778738
50.0,85,4.827945
54.0,80,4.874086
15.0,67,4.911015
27.0,74,4.95296
33.0,71,4.993674
20.0,76,5.036014
20.0,75,5.079529
15.0,66,5.116203
37.0,73,6.715032
29.0,81,6.764153
17.0,65,6.81395
35.0,78,6.864663
18.0,69,6.907399
37.0,74,6.955313
36.0,77,7.001884
29.0,77,7.045666
46.0,74,7.086933
39.0,69,7.125809
32.0,72,7.168636
30.0,78,7.213318
65.0,90,7.264519
21.0,67,7.301178
44.0,71,7.340475
17.0,73,7.381817
18.0,70,7.42256
36.0,74,7.466636
18.0,69,7.507975
21.0,70,7.548276
54.0,80,7.595431
37.0,76,7.63794
27.0,73,7.679498
11.0,62,7.714905
32.0,75,7.757438
18.0,70,7.798389
41.0,85,7.845836
139.0,75,9.430907
49.0,90,9.48493
40.0,74,9.527108
33.0,67,9.565944
28.0,73,9.608074
40.0,75,9.649945
53.0,83,9.70477
33.0,73,9.756555
56.0,80,9.803978
21.0,74,9.847453
18.0,71,9.888816
145.0,71,9.929574
33.0,75,9.97221
27.0,60,10.007638
32.0,67,10.045894
45.0,76,10.090611
41.0,84,10.138345
134.0,76,10.181388
44.0,69,10.221387
29.0,69,10.260083
145.0,72,10.301677
22.0,72,10.343144
29.0,74,10.384351
194.0,93,10.43955
41.0,72,10.480149
44.0,80,10.527418
18.0,68,10.566644
37.0,72,10.60837
18.0,66,12.300032
34.0,81,12.348455
161.0,85,12.398919
26.0,75,12.44613
38.0,75,12.489138
31.0,65,12.528592
27.0,78,12.573642
43.0,84,12.622526
56.0,83,12.670211
25.0,71,12.71159
29.0,73,12.753848
59.0,74,12.794833
21.0,67,12.834973
41.0,73,12.879338
53.0,83,12.928922
47.0,79,12.974484
19.0,69,13.012861
43.0,73,13.056379
31.0,78,13.100784
50.0,72,13.142724
30.0,75,13.185151
33.0,77,13.228271
46.0,79,13.275404
57.0,81,13.32036
67.0,81,13.369902
50.0,91,13.420491
29.0,82,13.471341
49.0,74,15.117799
63.0,85,15.168867
78.0,91,15.223436
169.0,96,15.281986
43.0,76,15.32711
52.0,76,15.373315
75.0,87,15.423472
28.0,73,15.466655
292.0,86,15.516344
63.0,90,15.569662
42.0,79,15.61586
49.0,84,15.665126
27.0,80,15.713555
51.0,75,15.755888
47.0,83,15.805815
37.0,73,15.96125
48.0,73,16.036237
38.0,79,16.135333
23.0,76,16.18875
62.0,85,16.256987
60.0,91,16.311969
58.0,89,16.361853
45.0,89,16.414617
38.0,75,16.457516
27.0,76,16.502298
32.0,72,18.104604
23.0,74,18.14642
40.0,77,18.188808
62.0,86,18.237713
40.0,76,18.279287
42.0,81,18.325075
170.0,81,18.369289
31.0,77,18.412442
53.0,86,18.459624
74.0,82,18.504554
69.0,89,18.557895
38.0,86,18.60503
72.0,95,18.65845
26.0,72,18.698511
38.0,80,18.744213
47.0,75,18.785468
62.0,81,18.830807
57.0,84,18.881501
33.0,85,18.929582
23.0,74,18.972087
23.0,74,19.013151
75.0,77,19.056768
52.0,84,19.105619
50.0,82,19.152536
67.0,82,19.204422
59.0,86,20.881728
61.0,83,20.929831
47.0,77,20.972281
79.0,89,21.021385
70.0,82,21.067731
55.0,81,21.112522
51.0,78,21.156634
64.0,76,21.198681
33.0,75,21.24109
39.0,76,21.283165
56.0,76,21.324618
48.0,80,21.369721
55.0,77,21.412361
70.0,94,21.465037
157.0,82,21.510399
36.0,81,21.559393
29.0,73,21.601642
57.0,87,21.650808
44.0,74,21.693652
159.0,79,21.737638
55.0,74,21.781645
70.0,86,21.830856
68.0,84,21.881683
30.0,66,21.918574
61.0,91,21.969095
35.0,79,22.014057
54.0,77,23.633849
43.0,76,23.677648
57.0,85,23.724476
53.0,79,23.769608
73.0,82,23.814718
63.0,86,23.8631
45.0,87,23.91205
57.0,87,23.964501
33.0,69,24.002681
62.0,83,24.048485
193.0,96,24.102372
47.0,79,24.145571
49.0,83,24.192099
55.0,80,24.235753
34.0,80,24.28051
160.0,84,24.32632
81.0,92,24.381523
151.0,80,24.425639
39.0,75,24.46646
47.0,84,24.513283
38.0,79,24.556335
59.0,83,24.619713
42.0,79,24.671325
76.0,85,24.724844
34.0,70,24.779714
69.0,89,26.390547
283.0,101,26.446538
91.0,91,26.500122
52.0,80,26.545296
75.0,79,26.595882
81.0,94,26.65229
69.0,81,26.702108
36.0,85,26.748865
67.0,94,26.807409
39.0,87,26.855478
42.0,88,26.904883
61.0,86,26.951854
55.0,73,26.993211
36.0,76,27.034551
49.0,84,27.080252
79.0,80,27.125214
70.0,77,27.167679
63.0,87,27.216742
58.0,80,27.260416
58.0,82,27.306475
67.0,89,27.354944
56.0,81,27.398998
89.0,87,27.447514
201.0,81,27.491636
47.0,84,29.090468
52.0,81,29.138815
42.0,83,29.184931
63.0,85,29.23365
218.0,93,29.284761
54.0,74,29.32723
63.0,86,29.377767
160.0,91,29.431473
279.0,94,29.483832
65.0,89,29.534377
49.0,89,29.583324
83.0,96,29.639628
45.0,88,29.68916
51.0,78,29.739414
40.0,82,29.833581
37.0,81,29.884186
169.0,81,29.92926
52.0,77,29.976107
34.0,84,30.024718
30.0,71,30.071244
38.0,86,30.135042
67.0,86,30.184525
41.0,80,30.228839
59.0,95,30.284853
59.0,83,31.886848
27.0,73,31.929024
165.0,84,31.976082
79.0,85,32.022944
32.0,67,32.061114
82.0,89,32.110064
67.0,86,32.17725
63.0,81,32.23086
40.0,73,32.278525
22.0,71,32.327689
41.0,88,32.389906
47.0,86,32.453871
47.0,81,32.505291
86.0,87,32.556024
176.0,95,32.608258
65.0,94,32.661152
69.0,79,32.704932
49.0,86,32.752283
180.0,85,32.800001
47.0,80,32.843602
60.0,92,32.895074
75.0,92,32.945399
95.0,94,32.997838
46.0,85,33.044145
160.0,84,33.090962
64.0,78,34.742231
207.0,92,34.801416
70.0,83,34.852438
97.0,89,34.909765
55.0,91,34.961046
76.0,83,35.009088
157.0,84,35.057362
286.0,92,35.112629
185.0,91,35.163888
66.0,87,35.215311
61.0,92,35.269888
50.0,76,35.313687
169.0,85,35.36241
61.0,83,35.411507
71.0,83,35.458696
57.0,87,35.50875
62.0,88,35.557626
186.0,94,35.61031
32.0,81,35.654779
44.0,87,35.71153
51.0,87,35.776289
181.0,91,35.839635
188.0,93,35.896743
47.0,74,37.526975
49.0,78,37.571584
67.0,90,37.623224
51.0,82,37.669219
75.0,89,37.720144
70.0,83,37.766158
68.0,85,37.832245
